code,areaName,-8,1,2,3,4,5,6,7,8,9
23496,24293,9234,12001,3682,6810,7247,9707,10373,E14000674,Ealing Central and Acton,22368
11557,18020,10737,14067,4694,10229,11411,12495,9636,E14000675,Ealing North,27056
8653,13319,7664,8564,4117,8875,12505,13777,8205,E14000676,Ealing Southall,22320
4310,10115,7803,4649,5557,9997,11100,9620,3634,E14000677,Easington,14727
13842,22215,12112,12292,4852,10747,8820,4506,4101,E14000678,East Devon,18429
17017,22286,12594,12008,4141,8298,6231,5306,4613,E14000681,East Surrey,22806
10142,17905,10929,10650,4481,10425,7795,5246,4193,E14000682,East Worthing and Shoreham,17858
9101,17590,9462,11611,5568,11838,12155,7327,3639,E14000683,East Yorkshire,16070
13371,21319,12476,9690,5768,11428,9668,5057,4347,E14000685,Eastleigh,22192
12923,17595,8864,10075,4432,8512,8686,5452,4359,E14000686,Eddisbury,17661
6315,13145,8730,10925,4162,10650,11618,14833,9812,E14000687,Edmonton,27844
8832,15112,9381,6197,5509,10281,10367,6060,4050,E14000688,Ellesmere Port and Neston,16379
14710,19270,11519,8518,4766,8743,8696,5598,4096,E14000689,Elmet and Rothwell,18235
11993,16146,8883,8808,3610,7539,7058,7258,5922,E14000690,Eltham,19928
9084,15660,9228,9499,3684,9089,9438,10235,7624,E14000691,Enfield North,25450
14081,17846,10713,12007,3428,7454,6556,6231,4829,E14000693,Epping Forest,19469
19010,21896,11613,10540,3328,7065,5273,5027,5736,E14000694,Epsom and Ewell,22234
7793,14552,9557,7156,5708,10651,13654,5958,3543,E14000695,Erewash,16603
22989,22148,9653,11542,2853,6507,4829,4796,5275,E14000697,Esher and Walton,25216
11474,17163,10255,7624,4344,10080,10898,5155,21649,E14000698,Exeter,16587
13075,20849,11303,8762,4413,9413,7379,4408,3678,E14000699,Fareham,16915
11182,17999,10205,10625,4560,8919,9037,5542,3887,E14000700,Faversham and Mid Kent,19541
9096,17282,12613,12386,6563,13753,16647,14976,10034,E14000701,Feltham and Heston,30961
13605,18423,11403,7238,4365,8807,9338,4188,9412,E14000702,Filton and Bradley Stoke,19432
21120,21683,9185,13592,2968,6858,5962,10222,8445,E14000703,Finchley and Golders Green,26011
10413,20217,12130,12047,5864,12555,10019,8441,4364,E14000704,Folkestone and Hythe,19131
8937,15047,9033,10611,4734,9501,9620,5251,4124,E14000705,Forest of Dean,14700
11301,17312,9988,8817,3823,8075,6893,5225,3510,E14000706,Fylde,13584
9056,17112,9784,9477,5219,10476,10015,6440,3721,E14000707,Gainsborough,16444
8858,15525,10329,6421,4777,11202,10977,9336,4855,E14000708,Garston and Halewood,19011
6968,12395,8547,4680,4543,10197,11991,9969,5582,E14000709,Gateshead,16795
9433,17055,10366,7713,4607,9423,9662,5433,4029,E14000710,Gedling,16966
8174,16330,11095,8908,4617,10462,10188,6496,5805,E14000711,Gillingham and Rainham,20239
9618,18951,13061,8243,6342,14556,13832,7733,6638,E14000712,Gloucester,23907
