code,areaName,-8,0,1,2,3,4,5,6
19666,7720,10330,4102,12719,19384,1830,E14000796,Liverpool West Derby,19028
20112,9628,13012,6122,14652,20007,2635,E14000798,Louth and Horncastle,14550
13325,7031,10747,4265,12049,23839,2032,E14000799,Ludlow,12084
22186,10852,11747,4833,13851,28334,3969,E14000801,Luton South,27733
10883,6526,10705,4263,13170,32372,1694,E14000802,Macclesfield,15959
10664,6918,10756,3541,12928,39974,2043,E14000803,Maidenhead,21123
15414,9702,13892,5323,15929,28979,2664,E14000804,Maidstone and The Weald,21262
17171,8407,12982,6152,14810,20209,1998,E14000805,Makerfield,17957
21938,8729,11593,4131,25584,53470,3349,E14000807,Manchester Central,27507
19976,7588,9524,2833,19624,30942,3063,E14000808,Manchester Gorton,26682
10268,4506,6714,1948,15521,43187,1510,E14000809,Manchester Withington,16612
21910,10542,13216,5898,15853,19902,2849,E14000810,Mansfield,20312
11708,7526,11690,4798,14892,28863,2056,E14000811,Meon Valley,16662
17597,9349,13479,4285,14810,29767,2221,E14000812,Meriden,23090
12791,9268,14173,5720,18445,36001,2176,E14000813,Mid Bedfordshire,24439
10577,6341,9402,5012,12408,24784,1596,E14000814,Mid Derbyshire,13822
10272,7409,11014,4791,12765,21996,1879,E14000815,Mid Dorset and North Poole,14279
18652,10476,14697,6166,16174,23721,2739,E14000816,Mid Norfolk,18748
11012,8694,14126,4289,16971,36195,2385,E14000817,Mid Sussex,21981
16435,9371,12428,5215,14981,28635,2550,E14000818,Mid Worcestershire,18129
19685,7686,10081,4476,12973,19220,2061,E14000819,Middlesbrough,20891
17292,11699,15542,5239,17367,39963,3254,E14000821,Milton Keynes North,29603
18285,12723,16469,5238,18004,40582,3174,E14000822,Milton Keynes South,32626
16906,8493,10055,3839,12736,36050,3238,E14000823,Mitcham and Morden,22654
9734,6798,10908,3539,12454,34964,1866,E14000824,Mole Valley,16393
13723,7548,10561,5110,13770,20985,1978,E14000825,Morecambe and Lunesdale,15626
15701,8661,12468,5764,15178,25681,2111,E14000826,Morley and Outwood,19060
11885,7195,10659,4951,12233,23955,2235,E14000828,New Forest West,11893
14991,8522,12236,5291,15402,28487,2306,E14000829,Newark,17324
18930,6999,8437,3537,15484,27263,2284,E14000831,Newcastle upon Tyne Central,20822
14641,7472,10004,5019,12637,27602,1928,E14000833,Newcastle upon Tyne North,18283
14546,6902,9911,4801,15149,20969,1699,E14000834,Newcastle-under-Lyme,14710
12752,8364,12005,5418,14059,24040,2232,E14000835,Newton Abbot,14647
25112,10675,14836,6294,15885,20670,2555,E14000836,Normanton Pontefract and Castleford,22238
13608,8651,12408,5150,13904,21568,2103,E14000837,North Cornwall,15631
12657,8606,12842,5425,14991,25531,2255,E14000839,North Dorset,15927
15226,7672,10944,5007,13283,18432,1812,E14000840,North Durham,14957
