code,areaName,-8,1,2,3,4,5,6,7,8,9
6508,9346,6606,4960,5256,5183,4355,5570,8100,E14000653,Crewe and Nantwich,58273
7247,13993,8667,6205,5419,6191,4341,3499,5694,E14000654,Croydon Central,63620
7351,14113,9091,6748,6058,7549,6022,4779,7979,E14000655,Croydon North,76962
9516,15242,8981,6380,4486,4508,3372,2487,3482,E14000656,Croydon South,60730
4736,8451,5497,5726,6101,5534,4027,4657,6987,E14000657,Dagenham and Rainham,64084
8862,10178,7245,5295,5793,3793,3104,3501,6050,E14000660,Daventry,53761
4296,6606,5457,4962,4854,4345,4054,3463,4237,E14000661,Denton and Reddish,45550
4502,9970,5817,4125,4331,4888,3986,4097,6282,E14000662,Derby North,55237
3752,7554,4872,3790,4692,5333,4496,6219,8901,E14000663,Derby South,68909
6465,7890,4269,3134,5054,2955,2065,2481,3310,E14000664,Derbyshire Dales,43204
7705,8154,9355,5365,6054,4620,2931,2702,4560,E14000665,Devizes,52373
6279,8486,6094,4415,5476,4369,4066,4684,4774,E14000666,Dewsbury,64999
5269,6345,5134,4215,5486,4834,3767,4219,5900,E14000667,Don Valley,56545
4392,6287,4945,4085,5118,4504,4312,5423,9838,E14000668,Doncaster Central,58653
4368,5025,4594,3823,5490,4853,4134,4513,6986,E14000669,Doncaster North,55050
5015,6363,6676,4198,5093,5761,3567,3390,4527,E14000670,Dover,57475
3478,5682,4096,3922,4802,3845,3250,3966,4329,E14000671,Dudley North,48881
9537,19101,11465,4020,3158,4445,2792,2010,4783,E14000673,Dulwich and West Norwood,52566
12027,19433,11305,4910,4551,4202,3414,2549,4849,E14000674,Ealing Central and Acton,61973
6902,11490,7056,5476,7011,5189,4864,4924,7378,E14000675,Ealing North,69612
5218,8774,5590,3837,3993,3521,4496,4293,7773,E14000676,Ealing Southall,60504
2796,4390,3756,3177,3917,3692,3673,3873,3959,E14000677,Easington,48284
7046,10115,6807,4696,5882,5165,3892,2607,4551,E14000678,East Devon,61152
10431,12098,8805,6024,5532,4990,3101,2429,3360,E14000681,East Surrey,58530
6005,9104,6767,4577,5695,5067,3653,2705,3933,E14000682,East Worthing and Shoreham,52118
6214,7041,5213,3786,6087,4857,3460,3299,5211,E14000683,East Yorkshire,59191
7928,12141,8503,6287,6743,5434,4434,3463,4671,E14000685,Eastleigh,55712
7938,9015,6040,4060,4921,3795,3142,3168,4287,E14000686,Eddisbury,52190
4320,7497,4840,4334,5204,5647,4309,4169,7070,E14000687,Edmonton,70643
4933,7343,5293,4088,4337,4401,3898,3737,4701,E14000688,Ellesmere Port and Neston,49439
7710,11068,7180,5119,4657,3761,3084,2423,3485,E14000689,Elmet and Rothwell,55663
6522,10851,6615,4558,4170,4072,2763,2431,4130,E14000690,Eltham,51035
5681,9449,5857,4764,4628,4797,3647,3049,4946,E14000691,Enfield North,62173
9215,10567,7293,5992,4931,3484,2729,2541,3397,E14000693,Epping Forest,52465
9956,14420,8133,5619,4462,4418,2737,1820,2840,E14000694,Epsom and Ewell,57318
4896,7334,5480,4626,5872,4404,4008,4260,5803,E14000695,Erewash,48489
13307,14643,8976,4655,3651,3830,2565,1553,2530,E14000697,Esher and Walton,60097
4848,12679,6225,4570,4683,5180,4561,3255,5908,E14000698,Exeter,63319
7026,10298,8031,5340,4976,4092,3565,2388,3634,E14000699,Fareham,50844
7537,8721,6577,4753,5571,4052,3229,3185,4298,E14000700,Faversham and Mid Kent,53574
6470,9599,6958,6393,6566,6099,6532,6205,11633,E14000701,Feltham and Heston,77856
6057,12993,7106,6271,4988,4154,4181,3188,5583,E14000702,Filton and Bradley Stoke,51690
11209,17741,8700,5060,3878,4344,3135,2040,3999,E14000703,Finchley and Golders Green,65940
6699,8138,7253,4604,5895,5846,4115,3241,4579,E14000704,Folkestone and Hythe,64811
5530,6710,5173,4070,6054,4471,2777,3270,4058,E14000705,Forest of Dean,49445
5680,8582,5462,4066,3886,3784,2699,2143,3212,E14000706,Fylde,49014
5882,7621,5200,3977,5483,4448,3158,3430,4062,E14000707,Gainsborough,54481
4514,9123,5500,4838,3817,4535,3888,3809,4836,E14000708,Garston and Halewood,56431
3427,7844,4704,4013,3639,4206,4141,3264,5044,E14000709,Gateshead,51385
5268,9371,6292,4645,5052,4325,3724,2856,4201,E14000710,Gedling,48952
5288,8029,6149,5083,5552,4711,3893,3897,5326,E14000711,Gillingham and Rainham,54384
5719,9865,7317,6502,6688,7109,5322,5283,6996,E14000712,Gloucester,62080
5004,6606,6932,4845,5376,5111,3545,2816,4529,E14000713,Gosport,51506
7457,9020,6813,4888,6190,5193,4015,4409,6005,E14000714,Grantham and Stamford,58794
6005,7846,6125,5188,5590,4639,3797,4387,6184,E14000715,Gravesham,57139
4037,4911,4127,3743,5220,5347,3722,4277,5752,E14000717,Great Yarmouth,58609
10210,20816,11845,5026,4207,5990,4304,2798,6855,E14000718,Greenwich and Woolwich,63741
9448,20465,13757,5484,3354,4901,3546,2219,4973,E14000720,Hackney North and Stoke Newington,66069
4324,7159,5309,4602,4814,3944,3482,3464,4249,E14000722,Halesowen and Rowley Regis,51234
4579,7747,5490,4441,5052,4660,3840,4206,4591,E14000723,Halifax,59447
6807,9650,5824,4211,4777,3380,2711,2596,3088,E14000724,Haltemprice and Howden,47424
4302,6587,5447,4472,4471,4244,4755,4556,5929,E14000725,Halton,52754
10104,18248,11361,4507,3311,4737,3511,1973,4439,E14000726,Hammersmith,55637
13577,22394,12668,4175,2571,4051,3093,1804,3560,E14000727,Hampstead and Kilburn,60791
7508,11746,6958,4954,4925,4306,3659,2975,4337,E14000728,Harborough,58040
5984,7913,5990,5615,6107,5178,3956,4617,6293,E14000729,Harlow,52725
8758,11333,7743,4522,4615,4508,3660,2134,4331,E14000730,Harrogate and Knaresborough,53135
7226,11659,5687,5330,6205,3738,3946,3702,5453,E14000731,Harrow East,58239
3348,5838,4497,3391,4736,4381,3613,3622,4323,E14000733,Hartlepool,54589
6499,7624,5686,4178,5338,4451,3011,2623,3657,E14000734,Harwich and North Essex,52723
5736,7926,6429,4512,6176,6278,3934,2935,4454,E14000735,Hastings and Rye,60913
5154,6866,5207,3893,5735,4765,3586,3079,4412,E14000736,Havant,52306
5607,8677,5769,5282,5472,5354,5704,6058,8693,E14000737,Hayes and Harlington,69786
5096,8278,5334,3759,3673,3315,2776,1913,2535,E14000738,Hazel Grove,43695
7763,10373,7893,5471,5638,4700,3880,3305,5251,E14000739,Hemel Hempstead,53310
4830,6391,5073,3919,4897,4603,3394,4577,7468,E14000740,Hemsworth,55080
10326,16768,8618,6090,6425,5883,4563,4151,6896,E14000741,Hendon,76066
10321,12411,7665,4521,5187,3638,2539,1911,3190,E14000742,Henley,52372
5673,7189,5272,4229,6349,4858,3663,4252,5583,E14000743,Hereford and South Herefordshire,50474
10229,13622,9551,5924,5154,4620,3300,2677,4093,E14000744,Hertford and Stortford,55916
9198,12243,7478,5665,4607,4296,2997,2583,3699,E14000745,Hertsmere,55061
5639,7643,4130,2872,4014,3037,2334,2029,2752,E14000746,Hexham,41950
5312,8099,5725,5146,5260,5386,3923,4001,5933,E14000747,Heywood and Middleton,60606
5873,8839,5598,3694,5209,4453,3120,3593,4235,E14000748,High Peak,46319
10148,15027,8259,4182,3478,3080,2494,1635,2690,E14000749,Hitchin and Harpenden,52668
6947,10665,7325,7283,5929,4258,3323,3115,4158,E14000751,Hornchurch and Upminster,59615
10136,12850,9770,5775,5611,5341,3763,2555,4074,E14000753,Horsham,58119
3536,5822,4561,4289,4245,4136,4497,3813,4213,E14000754,Houghton and Sunderland South,50607
8398,14125,9183,4223,3926,4383,3624,2112,3615,E14000755,Hove,47946
3925,7209,4949,3304,4072,4245,3810,3587,4677,E14000756,Huddersfield,56163
8585,12786,9114,6093,5807,5171,4198,4606,5532,E14000757,Huntingdon,60649
3946,5832,4667,3788,5292,4938,3767,4320,4338,E14000758,Hyndburn,53137
7342,13182,6612,5960,5548,3896,4168,3338,4904,E14000759,Ilford North,60308
6905,13449,6805,6305,5793,4738,5634,5143,7968,E14000760,Ilford South,84609
5038,9758,6538,5076,5419,5902,5135,5170,7268,E14000761,Ipswich,59516
7243,8981,6602,4850,8084,7591,5104,3588,5870,E14000762,Isle of Wight,82549
8664,19889,12299,3752,2616,3601,2865,1749,3916,E14000763,Islington North,50477
8775,19423,10580,3581,2329,3156,2733,1747,3295,E14000764,Islington South and Finsbury,51142
3436,6349,4691,4118,4008,3816,3535,3336,3750,E14000765,Jarrow,46803
5387,8441,5076,3765,5124,4587,3597,3417,4267,E14000766,Keighley,55720
8263,11637,6367,3936,4216,2939,2313,1694,2989,E14000767,Kenilworth and Southam,47592
13228,14125,9159,3075,1807,3756,2507,1334,2545,E14000768,Kensington,55412
6446,8703,6048,4928,5899,5069,3844,4710,6759,E14000769,Kettering,53417
10178,16894,9671,5538,4780,4694,4216,2389,4409,E14000770,Kingston and Surbiton,61388
2876,4273,4066,3562,5615,4782,4229,4662,5688,E14000771,Kingston upon Hull East,51559
3210,6234,4710,3263,5722,4659,4451,5401,6767,E14000772,Kingston upon Hull North,56549
3150,5622,4208,3306,5478,4422,3927,5010,6401,E14000773,Kingston upon Hull West and Hessle,48696
4194,7124,5559,5454,5323,5995,4793,4911,6139,E14000775,Knowsley,61913
3977,8203,4348,3177,4284,4092,2962,2355,3849,E14000776,Lancaster and Fleetwood,53232
4123,12201,7568,5159,4777,6910,6248,5079,10956,E14000777,Leeds Central,88866
3438,7026,4843,4290,4800,5681,4004,3838,6462,E14000778,Leeds East,60507
6167,14910,6811,3909,2517,3597,3100,1772,3141,E14000779,Leeds North East,50257
4914,11085,5924,3321,2922,3098,3273,1408,3527,E14000780,Leeds North West,47871
3937,8503,6465,4775,4742,5022,4279,3444,6145,E14000781,Leeds West,51738
4075,10234,5130,4125,3769,4947,4933,5654,8439,E14000783,Leicester South,76954
3152,6830,4223,3551,4419,5929,4336,6395,10694,E14000784,Leicester West,63643
5768,8595,6829,5281,6049,5381,4502,4476,5408,E14000785,Leigh,56827
6175,8323,5931,3533,4650,3966,2567,1891,3112,E14000786,Lewes,50787
6986,13337,8286,4544,4160,4993,3840,2556,5110,E14000787,Lewisham East,55330
8441,15931,10624,4781,3891,4701,3367,2265,4375,E14000788,Lewisham West and Penge,53451
8734,19901,13135,4925,4152,5583,3918,2469,6818,E14000789,Lewisham Deptford,58246
7248,13475,8116,4385,5311,3902,3411,2999,6336,E14000790,Leyton and Wanstead,52502
7828,9786,6311,4391,5071,3468,3012,2746,4307,E14000791,Lichfield,51706
4569,8489,6450,4533,5415,5967,5406,5286,7545,E14000792,Lincoln,63709
4598,14323,7272,4589,2992,4496,5125,2501,6664,E14000793,Liverpool Riverside,72785
2576,4991,3869,4380,3690,5102,3989,3592,6078,E14000794,Liverpool Walton,55045
3518,9047,4702,4026,2851,3815,3475,2523,4927,E14000795,Liverpool Wavertree,53232
3424,6565,4590,4618,3912,5019,3646,3729,5474,E14000796,Liverpool West Derby,53802
5230,5224,4508,3427,5842,4644,3085,3276,4459,E14000798,Louth and Horncastle,61020
5997,6129,4181,3356,6487,3557,2485,2360,3858,E14000799,Ludlow,46964
4837,7873,5495,4562,5611,5911,4394,6322,10482,E14000801,Luton South,68019
5289,8934,6263,3395,4296,4688,3464,2192,4207,E14000597,Brighton Kemptown,50930
5727,13811,8737,5861,6582,5337,4584,3731,6705,E14000601,Bristol South,57068
7346,8379,6791,6135,6061,4164,3591,3731,4794,E14000606,Broxbourne,53655
5168,11905,6137,4376,4305,3349,3276,2701,4293,E14000607,Broxtowe,50807
5999,8035,5577,4721,5683,4571,4018,6295,8999,E14000610,Burton,58633
4094,6146,4284,3843,5005,4376,3849,5391,5449,E14000620,Carlisle,45776
6808,11641,6984,5622,5292,4781,3512,2890,3961,E14000621,Carshalton and Wallington,53193
6398,8629,5255,3830,6999,4166,3030,2894,4090,E14000623,Central Devon,50171
8164,9336,7190,5907,6823,5260,4616,7110,10689,E14000648,Corby,64370
4000,6694,4935,4242,4314,4332,4194,3433,5686,E14000658,Darlington,50365
8051,12632,8080,7117,6462,5022,4242,4185,5537,E14000659,Dartford,61357
3619,5769,4149,3778,4745,3693,3177,3352,4077,E14000672,Dudley South,45234
6592,12828,8023,5945,7454,6337,7597,5923,12071,E14000679,East Ham,94183
8944,10721,7118,4616,5745,4860,2803,2184,3686,E14000680,East Hampshire,52374
5357,8386,5576,4246,5219,6427,3985,2704,5123,E14000684,Eastbourne,62221
8296,12529,7032,4706,4565,3542,2739,2222,4025,E14000692,Enfield Southgate,53304
4944,9443,6171,5237,5198,6456,4381,4301,7465,E14000696,Erith and Thamesmead,64706
2706,4136,3559,2861,4171,4350,3202,6311,6037,E14000716,Great Grimsby,48820
8789,14706,7614,4134,4223,4312,3209,1652,3745,E14000719,Guildford,58969
9198,19575,13846,3984,3114,4841,3645,2312,5649,E14000721,Hackney South and Shoreditch,58767
7281,14750,6802,5307,5105,4043,4345,3579,5522,E14000732,Harrow West,60211
8748,19073,10898,3818,2430,4006,3373,2062,3525,E14000750,Holborn and St Pancras,68696
10770,20397,12423,4277,4472,4054,3216,2071,5191,E14000752,Hornsey and Wood Green,57731
5502,8854,6174,5840,5870,4590,3331,2936,3989,E14000774,Kingswood,44312
3779,7010,4325,4677,3881,4676,5492,10213,10046,E14000782,Leicester East,73042
